strain,G1_mean_fluorescence.BL1.A.,G1_CV,HU_mean_fluorescence.BL1.A.,HU_CV
yHRWh36,47934,4.84,NA,NA
yHRWh51,40518,6.65,39070,8.55
yHRWh22,39498,19.1,42152,3.9
yHRWh42,38330,11.5,39396,3.8
yHRWh56,34653,11.1,NA,NA
yHRWh39,34380,21.8,46664,12.6
yHRWh24,33141,9.56,34085,4.47
yHRWh4,32490,4.84,31462,4
yHRWh8,28216,8.32,31346,6.68
yHRWh18,27857,8.77,32240,3.69
yHRWh7,27767,6.73,24104,11.5
yHRWh13,27337,15.5,31969,10.9
yHRWh19,27029,5.4,27659,4.41
yHRWh10,23917,7.41,27182,6.64
yHRW134,16798,10.5,16798,7.34
yHRWh131,15453,3.31,16313,6.21
yHRWh121,14462,14,14281,26.2
yHRWh123,13479,11.4,13680,7.69
yHRWh126,13339,1,13963,9.78
yHRWh129,13304,4.27,14361,13.5
yHRWh112,12749,8.58,13703,7.52
yHRWh114,12430,9.62,13180,7.2
CNT_7,6139,5.55,NA,NA
