Strain_Name,Cross,Number_species,Scheme,#Rec,Gain,Loss,Gain_Losses,Number_aberrations
yHRW134,Sc,1,B,1,0,0,0,1
yHRWh10,Sc x Su,2,B,0,0,0,0,0
yHRWh4,Sm x Sk,2,B,1,0,0,0,1
yHRWh7,Sa x Sp,2,B,1,0,0,0,1
yHRWh24,Sc x Sk x Sm x Su,4,B,1,0,55,55,56
yHRWh36,Sc x Sp x Sm x Sk x Sa x Su,6,B,1,0,33,33,34
yHRWh13,Sm x Su,2,C,0,0,0,0,0
yHRWh18,Sk x Sp,2,C,0,0,0,0,0
yHRWh19,Sc x Sa,2,C,0,0,0,0,0
yHRWh22,Sc x Sa x Sm x Su,4,C,1,1,32,33,34
yHRWh39,Sc x Sp x Sm x Sk x Sa x Su,6,C,1,1,74,75,76
yHRWh4,Sm x Sk,2,D,1,0,0,0,1
yHRWh8,Sa x Sp,2,D,0,0,0,0,0
yHRWh42,Sc x Sa x Sp,3,D,0,0,2,2,2
yHRWh51,Su x Sm x Sk,3,D,0,0,9,9,9
yHRWh56,Sc x Sp x Sm x Sk x Sa x Su,6,D,0,0,87,87,87
yHRWh82,Evolved YPD,7,C,1,7,18,25,26
yHRWh83,Evolved YPD,7,C,1,6,16,22,23
yHRWh84,Evolved YPD,7,C,1,5,14,19,20
yHRWh85,Evolved YPD,7,D,1,3,24,27,28
yHRWh86,Evolved YPD,7,D,1,3,24,27,28
yHRWh87,Evolved YPD,7,D,1,3,18,21,22
yHRWh88,Evolved YPX,7,C,0,5,7,12,12
yHRWh89,Evolved YPX,7,C,2,14,29,43,45
yHRWh90,Evolved YPX,7,C,1,14,35,49,50
yHRWh91,Evolved YPX,7,D,0,3,17,20,20
yHRWh92,Evolved YPX,7,D,0,1,34,35,35
yHRWh93,Evolved YPX,7,D,0,2,9,11,11
